time,precipitation_mm
2018-02-14T00:00,0.0
2018-02-14T01:00,0.1
2018-02-14T02:00,0.6
2018-02-14T03:00,1.2
2018-02-14T04:00,3.1
2018-02-14T05:00,15.9
2018-02-14T06:00,9.5
2018-02-14T07:00,0.9
2018-02-14T08:00,0.6
2018-02-14T09:00,1.4
2018-02-14T10:00,1.2
2018-02-14T11:00,1.4
2018-02-14T12:00,0.1
2018-02-14T13:00,0.0
2018-02-14T14:00,0.1
2018-02-14T15:00,0.2
2018-02-14T16:00,0.3
2018-02-14T17:00,0.1
2018-02-14T18:00,0.0
2018-02-14T19:00,0.0
2018-02-14T20:00,0.0
2018-02-14T21:00,0.1
2018-02-14T22:00,0.5
2018-02-14T23:00,0.0
